p,replicate,max_unique,final_unique,max_adj_drop,rel_drop,gen_of_max_drop,t_half,collapse_flag
0.0,0,100.0,36.0,42.0,0.42,10,30,0
0.0,1,100.0,41.0,37.0,0.37,10,20,0
0.0,2,100.0,37.0,29.0,0.29,10,20,0
0.0,3,100.0,37.0,43.0,0.43,10,20,0
0.0,4,100.0,30.0,50.0,0.5,10,10,1
0.0,5,100.0,37.0,34.0,0.34,10,40,0
0.0,6,100.0,37.0,38.0,0.38,10,30,0
0.0,7,100.0,34.0,47.0,0.47,10,30,0
0.0,8,100.0,38.0,44.0,0.44,10,20,0
0.0,9,100.0,32.0,43.0,0.43,10,30,0
0.0,10,100.0,34.0,35.0,0.35,10,30,0
0.0,11,100.0,41.0,43.0,0.43,10,30,0
0.0,12,100.0,32.0,47.0,0.47,10,30,0
0.0,13,100.0,29.0,41.0,0.41,10,20,0
0.0,14,100.0,38.0,38.0,0.38,10,20,0
0.0,15,100.0,41.0,54.0,0.54,10,10,1
0.0,16,100.0,38.0,46.0,0.46,10,30,0
0.0,17,100.0,41.0,36.0,0.36,10,30,0
0.0,18,100.0,43.0,47.0,0.47,10,30,0
0.0,19,100.0,41.0,50.0,0.5,10,10,1
0.15,0,100.0,42.0,40.0,0.4,10,30,0
0.15,1,100.0,42.0,41.0,0.41,10,30,0
0.15,2,100.0,45.0,44.0,0.44,10,40,0
0.15,3,100.0,34.0,34.0,0.34,10,20,0
0.15,4,100.0,49.0,35.0,0.35,10,40,0
0.15,5,100.0,44.0,39.0,0.39,10,30,0
0.15,6,100.0,42.0,34.0,0.34,10,20,0
0.15,7,100.0,35.0,42.0,0.42,10,40,0
0.15,8,100.0,40.0,44.0,0.44,10,30,0
0.15,9,100.0,38.0,53.0,0.53,10,10,1
0.15,10,100.0,44.0,36.0,0.36,10,50,0
0.15,11,100.0,42.0,34.0,0.34,10,20,0
0.15,12,100.0,33.0,36.0,0.36,10,30,0
0.15,13,100.0,38.0,30.0,0.3,10,50,0
0.15,14,100.0,47.0,43.0,0.43,10,40,0
0.15,15,100.0,37.0,41.0,0.41,10,30,0
0.15,16,100.0,41.0,42.0,0.42,10,40,0
0.15,17,100.0,46.0,45.0,0.45,10,60,0
0.15,18,100.0,42.0,42.0,0.42,10,50,0
0.15,19,100.0,47.0,47.0,0.47,10,50,0
0.3,0,100.0,47.0,52.0,0.52,10,10,1
0.3,1,100.0,49.0,44.0,0.44,10,20,0
0.3,2,100.0,44.0,46.0,0.46,10,30,0
0.3,3,100.0,42.0,38.0,0.38,10,20,0
0.3,4,100.0,41.0,44.0,0.44,10,40,0
0.3,5,100.0,43.0,31.0,0.31,10,20,0
0.3,6,100.0,43.0,40.0,0.4,10,40,0
0.3,7,100.0,33.0,36.0,0.36,10,40,0
0.3,8,100.0,45.0,38.0,0.38,10,30,0
0.3,9,100.0,59.0,30.0,0.3,10,30,0
0.3,10,100.0,42.0,35.0,0.35,10,40,0
0.3,11,100.0,50.0,39.0,0.39,10,30,0
0.3,12,100.0,44.0,44.0,0.44,10,50,0
0.3,13,100.0,50.0,34.0,0.34,10,30,0
0.3,14,100.0,38.0,45.0,0.45,10,20,0
0.3,15,100.0,36.0,44.0,0.44,10,30,0
0.3,16,100.0,43.0,40.0,0.4,10,30,0
0.3,17,100.0,52.0,35.0,0.35,10,20,0
0.3,18,100.0,57.0,42.0,0.42,10,30,0
0.3,19,100.0,41.0,36.0,0.36,10,20,0
0.45,0,100.0,55.0,47.0,0.47,10,20,0
0.45,1,100.0,46.0,40.0,0.4,10,30,0
0.45,2,100.0,44.0,43.0,0.43,10,30,0
0.45,3,100.0,47.0,48.0,0.48,10,40,0
0.45,4,100.0,50.0,47.0,0.47,10,30,0
0.45,5,100.0,54.0,29.0,0.29,10,20,0
0.45,6,100.0,49.0,39.0,0.39,10,40,0
0.45,7,100.0,56.0,42.0,0.42,10,30,0
0.45,8,100.0,64.0,47.0,0.47,10,30,0
0.45,9,100.0,50.0,37.0,0.37,10,20,0
0.45,10,100.0,56.0,42.0,0.42,10,40,0
0.45,11,100.0,68.0,48.0,0.48,10,30,0
